id,city,reading
1,city-1,7
2,city-2,14
3,city-3,21
4,city-4,28
5,city-5,35
6,city-6,42
7,city-7,49
8,city-8,56
9,city-9,63
10,city-10,70
11,city-11,77
12,city-12,84
13,city-13,91
14,city-14,98
15,city-15,5
16,city-16,12
17,city-17,19
18,city-18,26
19,city-19,33
20,city-20,40
21,city-21,47
22,city-22,54
23,city-23,61
24,city-24,68
25,city-25,75
26,city-26,82
27,city-27,89
28,city-28,96
29,city-29,3
30,city-30,10
31,city-31,17
32,city-32,24
33,city-33,31
34,city-34,38
35,city-35,45
36,city-36,52
37,city-37,59
38,city-38,66
39,city-39,73
40,city-40,80
41,city-41,87
42,city-42,94
43,city-43,1
44,city-44,8
45,city-45,15
46,city-46,22
47,city-47,29
48,city-48,36
49,city-49,43
50,city-50,50
51,city-51,57
52,city-52,64
53,city-53,71
54,city-54,78
55,city-55,85
56,city-56,92
57,city-57,99
